
########################################################################################################################
########################################################################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       orthorhombic        
# density (kg/m^3):                       9190                
# highest order basis polynomial:         18                  
# resonance frequencies calculated with:  RUS_XYZ             

########################################################################################################################
########################################################################################################################

#Fit Statistics-----------------------------------------------------------------
	# Fitting Class      	= rus_ray
	# fitting method     	= differential evolution
	# polish             	= True
	# data points        	= 152
	# variables          	= 9
	# fit success        	= True
	# generations        	= 122 + 1
	# function evals     	= 22260
	# fit duration       	= 62862.06 seconds
	# chi-square         	= 0.00029753
	# reduced chi-square 	= 0.00000208
#Variables----------------------------------------------------------------------
	# c11 : 89.757 GPa (init = [[70, 100], GPa])
	# c12 : 25.276 GPa (init = [[10, 40], GPa])
	# c13 : 40.987 GPa (init = [[25, 55], GPa])
	# c22 : 143.935 GPa (init = [[125, 155], GPa])
	# c23 : 31.839 GPa (init = [[15, 60], GPa])
	# c33 : 95.988 GPa (init = [[75, 105], GPa])
	# c44 : 28.099 GPa (init = [[15, 45], GPa])
	# c55 : 53.402 GPa (init = [[37, 67], GPa])
	# c66 : 30.594 GPa (init = [[15, 45], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : -86.59120000 GPa
	# angle_y : -75.20310000 GPa
	# angle_z : -64.15210000 GPa

########################################################################################################################
########################################################################################################################

#                                                      2 x logarithmic derivative (2 x dlnf / dlnc)                                                                                                        
#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  c11          c12          c13          c22          c23          c33          c44          c55          c66          
#-----------------------------------------------------------------------------------------------------------------------
72      3.751292     3.745933     0.143        1.0     0.171425     -0.007987    -0.089061    0.15331      -0.025128    0.198324     0.36071      0.080848     0.157559     
73      3.772155     3.772811     0.017        1.0     0.316713     -0.033795    -0.16233     0.17436      -0.015854    0.226899     0.159934     0.083127     0.250946     
74      3.794777     3.791013     0.099        1.0     0.327032     -0.015296    -0.20063     0.120996     -0.019336    0.271665     0.119256     0.094085     0.302229     
75      3.818532     3.813638     0.128        1.0     0.233362     -0.012002    -0.124838    0.170876     -0.015395    0.204514     0.255732     0.076913     0.210837     
76      3.825958     3.824396     0.041        1.0     0.359286     0.000267     -0.226315    0.087645     -0.013623    0.289655     0.202355     0.097234     0.203495     
77      3.839403     3.838479     0.024        1.0     0.227403     -0.020995    -0.11708     0.134043     -0.010431    0.195858     0.163937     0.146442     0.280823     
78      3.840282     3.848898     0.224        1.0     0.305001     -0.009167    -0.174128    0.122208     -0.03659     0.282363     0.235328     0.090367     0.184618     
79      3.894245     3.893752     0.013        1.0     0.208014     -0.034047    -0.089374    0.197375     -0.01848     0.182321     0.21187      0.115501     0.226822     
80      3.914239     3.912111     0.054        1.0     0.344244     -0.017891    -0.192306    0.104183     0.001198     0.249376     0.193839     0.157088     0.160269     
81      3.936742     3.933501     0.082        1.0     0.251623     -0.014252    -0.130326    0.197188     -0.04928     0.242931     0.139458     0.095404     0.267254     
82      3.949234     3.957888     0.219        1.0     0.220983     -0.005681    -0.122865    0.138439     -0.039965    0.225627     0.237668     0.120719     0.225076     
83      3.970824     3.963708     0.18         1.0     0.212575     -0.015095    -0.095886    0.171103     -0.010576    0.121075     0.201334     0.159147     0.256322     
84      3.980431     3.985126     0.118        1.0     0.332955     -0.039046    -0.124703    0.161331     -0.026674    0.202868     0.137112     0.146298     0.209859     
85      3.986647     3.996179     0.239        1.0     0.279367     -0.001563    -0.167316    0.116558     -0.047951    0.298749     0.201272     0.116685     0.204199     
86      4.014422     4.010746     0.092        1.0     0.296737     -0.015131    -0.17975     0.121829     -0.014188    0.242405     0.234262     0.14614      0.167697     
87      4.06185      4.051372     0.259        1.0     0.274515     -0.009156    -0.145948    0.072583     -0.012885    0.213488     0.20532      0.273107     0.128976     
88      4.071127     4.068843     0.056        1.0     0.275663     -0.009444    -0.143047    0.095645     -0.017237    0.215031     0.163028     0.144094     0.276267     
89      4.079417     4.08447      0.124        1.0     0.252263     0.005234     -0.141835    0.136564     -0.044152    0.235623     0.192161     0.158702     0.205439     
90      4.114079     4.108015     0.148        1.0     0.193935     -0.015686    -0.095826    0.155734     -0.039837    0.209572     0.148237     0.164996     0.278873     
91      4.151053     4.149968     0.026        1.0     0.450098     -0.010795    -0.323684    0.063145     -0.006922    0.382959     0.133808     0.10878      0.202611     
92      4.165963     4.169725     0.09         1.0     0.263631     -0.016622    -0.13016     0.183132     -0.053064    0.250545     0.191096     0.083734     0.227709     
93      4.197841     4.195386     0.059        1.0     0.360326     -0.0255      -0.197284    0.113217     -0.01575     0.258348     0.115864     0.122839     0.267939     
94      4.204266     4.212415     0.193        1.0     0.306842     -0.007832    -0.159773    0.079028     -0.017025    0.244133     0.13299      0.18678      0.234857     
95      4.221492     4.230293     0.208        1.0     0.242372     -0.006305    -0.170366    0.134447     -0.023351    0.254906     0.206398     0.09172      0.270179     
96      4.233328     4.233881     0.013        1.0     0.252678     -0.030487    -0.143974    0.160021     -0.015136    0.22505      0.237298     0.090136     0.224414     
97      4.24888      4.247824     0.025        1.0     0.284705     -0.015339    -0.150775    0.121908     -0.012756    0.207195     0.154802     0.168772     0.241489     
98      4.278986     4.276526     0.058        1.0     0.171787     -0.022205    -0.067295    0.236623     -0.05872     0.223899     0.300737     0.084749     0.130425     
99      4.289036     4.292799     0.088        1.0     0.204268     -0.016287    -0.085347    0.152048     -0.025904    0.1581       0.190061     0.125727     0.297335     
100     4.309774     4.310084     0.007        1.0     0.345735     -0.013337    -0.197874    0.118966     -0.016677    0.259651     0.18593      0.14611      0.171497     
101     4.32438      4.324925     0.013        1.0     0.262578     -0.016866    -0.14728     0.153419     -0.023436    0.232162     0.201162     0.126826     0.211435     
102     4.336869     4.334749     0.049        1.0     0.291923     -0.009579    -0.145012    0.138861     -0.032059    0.245167     0.180802     0.10056      0.229336     
103     4.369497     4.36573      0.086        1.0     0.27571      -0.023988    -0.154339    0.186098     -0.025284    0.224442     0.139421     0.101162     0.276779     
104     4.392279     4.392338     0.001        1.0     0.221516     -0.017113    -0.111431    0.119722     -0.0277      0.227523     0.28741      0.142441     0.157631     
105     4.406382     4.407591     0.027        1.0     0.183683     -0.01139     -0.091533    0.122605     -0.024685    0.215392     0.335207     0.114448     0.156272     
106     4.420915     4.424113     0.072        1.0     0.287841     -0.009744    -0.158112    0.115864     -0.01915     0.234094     0.191786     0.118818     0.238603     
