#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       8.9       
# Sample Dimensions (mm):          [0.911 1.02  1.305]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 36        
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (138.357  +/-  0.273) GPa  (0.2%);     bounds (GPa): [120. 150.];    init value = 138.8 GPa
# c12 =  (42.159   +/-  0.319) GPa  (0.76%);    bounds (GPa): [25. 55.];      init value = 42.0 GPa
# c13 =  (14.464   +/-  0.478) GPa  (3.3%);     bounds (GPa): [ 0. 30.];      init value = 14.3 GPa
# c33 =  (194.327  +/-  0.416) GPa  (0.21%);    bounds (GPa): [180. 210.];    init value = 194.6 GPa
# c44 =  (45.059   +/-  0.05) GPa   (0.11%);    bounds (GPa): [30. 60.];      init value = 45.2 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

70       3.68821        3.69716        -0.24264               1.088997       -0.272165      -0.006692      0.107752       0.082107       
71       3.69833        3.70359        -0.14236               1.386328       -0.393478      -0.00028       0.001185       0.006244       
72       3.7138         3.70885        0.13314                1.059244       -0.248046      -0.001184      0.024777       0.165209       
73       3.73026        3.72873        0.04091                0.335355       -0.071958      -0.012946      0.214683       0.534865       
74       3.74331        3.74049        0.07533                0.661048       -0.173368      -0.009356      0.080279       0.441398       
75       3.75044        3.75584        -0.14398               0.242665       -0.032797      0.000103       0.128989       0.661039       
76       3.76102        3.76807        -0.18741               0.570114       -0.159531      -0.004397      0.099205       0.49461        
77       3.76326        3.76902        -0.15322               0.342888       -0.068625      -0.006839      0.105472       0.627104       
78       3.81157        3.81666        -0.13362               0.660907       -0.135568      -0.01417       0.105865       0.382966       
79       3.86086        3.8693         -0.21874               0.752021       -0.191755      -0.001294      0.089986       0.351042       
80       3.8695         3.8798         -0.26615               1.377541       -0.383031      4.5e-05        0.00145        0.003995       
81       3.89889        3.9003         -0.03613               0.404999       -0.013744      -0.08215       0.639881       0.051015       
82       3.94284        3.94682        -0.10091               0.015992       0.000274       0.001608       0.980947       0.001179       
83       3.95379        3.95214        0.04171                0.474405       -0.093212      -0.00253       0.117206       0.504131       
#84       0              3.96289        0                      0.0            -0.0           -0.0           0.0            0.0            
#85       0              4.00868        0                      0.0            -0.0           -0.0           0.0            0.0            
#86       0              4.0098         0                      0.0            -0.0           -0.0           0.0            0.0            
#87       0              4.01106        0                      0.0            -0.0           -0.0           0.0            0.0            
#88       0              4.01914        0                      0.0            -0.0           -0.0           0.0            0.0            
#89                      4.01925                                                                                                          
#90                      4.03531                                                                                                          
#91                      4.05807                                                                                                          
#92                      4.08442                                                                                                          
#93                      4.11833                                                                                                          
#94                      4.12333                                                                                                          
#95                      4.13372                                                                                                          
#96                      4.13402                                                                                                          
#97                      4.16645                                                                                                          
#98                      4.18398                                                                                                          
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# RMS = 0.02 %
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
